part,day,shift,y300
6700,5,2,5.3
6701,5,2,4.9
6702,5,2,-0.9
6703,5,2,2.4
6704,5,2,-0.1
6705,5,2,15.2
6706,5,2,1.1
6707,5,2,0.9
6708,5,2,3
6709,5,2,-4.7
6710,5,2,-4.1
6711,5,2,2.9
6712,5,2,-2.2
6713,5,2,1.5
6714,5,2,-2.3
6715,5,2,0.9
6716,5,2,2.6
6717,5,2,-13.5
6718,5,2,-2.4
6719,5,2,0.2
6720,5,2,0.1
6721,5,3,4.6
6722,5,3,5.3
6723,5,3,-10.8
6724,5,3,-0.4
6725,5,3,8.7
6726,5,3,2.1
6727,5,3,4.6
6728,5,3,2.7
6729,5,3,0
6730,5,3,7.5
6731,5,3,3.1
6732,5,3,-4.5
6733,5,3,0.5
6734,5,3,7.6
6735,5,3,-3.9
6736,5,3,4.2
6737,5,3,-5.4
6738,5,3,3.2
6739,5,3,4.5
6740,5,3,4.1
6741,5,3,1
6742,5,3,-11.3
6743,5,3,5.8
6744,5,3,4.7
6745,5,3,3.8
6746,5,3,-1.3
6747,5,3,-0.6
6748,5,3,3.6
6749,5,3,-3.2
6750,5,3,-1.1
6751,5,3,1.6
6752,5,3,-2.1
6753,5,3,-3
6754,5,3,-0.5
6755,5,3,10.9
6756,5,3,4
6757,5,3,-1
6758,5,3,1.2
6759,5,3,6.3
6760,5,3,-5.2
6761,5,3,3.4
6762,5,3,-2.2
6763,5,3,1
6764,5,3,0.6
6765,5,3,-2.3
6766,5,3,-1.7
6767,5,3,8.1
6768,5,3,1.3
6769,5,3,-3.1
6770,5,3,1
6771,5,3,2.8
6772,5,3,8.8
6773,5,3,3.5
6774,5,3,4
6775,5,3,-3.2
6776,5,3,2.5
6777,5,3,-7.6
6778,5,3,1.9
6779,5,3,4.6
6780,5,3,-6.2
6781,5,3,-3.1
6782,5,3,2.6
6783,5,3,-2.2
6784,5,3,-1.5
6785,5,3,1.3
6786,5,3,-6.9
6787,5,3,-0.4
6788,5,3,-5.1
6789,5,3,-1.6
6790,5,3,3.5
6791,5,3,-0.2
6792,5,3,-8.8
6793,5,3,1.5
6794,5,3,-5
6795,5,3,6.6
6796,5,3,1
6797,5,3,-2.7
6798,5,3,-6.6
6799,5,3,7.9
